股價日期,代號,名稱,成交張數
2026-03-22,5274,信驊,307
2026-03-22,6515,穎崴,444
2026-03-22,7769,鴻勁,2547
2026-03-22,6223,旺矽,2721
2026-03-22,3653,健策,1150
2026-03-22,6669,緯穎,1313
2026-03-22,6510,精測,979
2026-03-22,2059,川湖,1100
2026-03-22,3661,世芯-KY,4114
2026-03-22,2383,台光電,4589
2026-03-22,3529,力旺,1035
2026-03-22,3443,創意,3540
2026-03-22,3131,弘塑,1412
2026-03-22,3008,大立光,842
2026-03-22,3533,嘉澤,2483
2026-03-22,3017,奇鋐,6991
2026-03-22,6442,光聖,804
2026-03-22,6805,富世達,1519
2026-03-22,8299,群聯,12050
2026-03-22,7734,印能科技,557
2026-03-22,2330,台積電,53706
2026-03-22,3665,貿聯-KY,9966
2026-03-22,2454,聯發科,8268
2026-03-22,3081,聯亞,1208
2026-03-22,7751,竑騰,100
2026-03-22,2345,智邦,5787
2026-03-22,2360,致茂,5104
2026-03-22,2308,台達電,15940
2026-03-22,3491,昇達科,296
2026-03-22,7750,新代,1031
2026-03-22,6683,雍智科技,452
2026-03-22,5289,宜鼎,1159
2026-03-22,5269,祥碩,1054
2026-03-22,6739,竹陞科技,561
2026-03-22,6640,均華,1036
2026-03-22,6781,AES-KY,1617
2026-03-22,3324,雙鴻,4516
2026-03-22,2368,金像電,25450
2026-03-22,1590,亞德客-KY,733
2026-03-22,2404,漢唐,6587
2026-03-22,1519,華城,2183
2026-03-22,3163,波若威,1071
2026-03-22,8210,勤誠,2786
2026-03-22,8996,高力,5997
2026-03-22,4749,新應材,4515
2026-03-22,6944,兆聯實業,2506
2026-03-22,6187,萬潤,7279
2026-03-22,7728,光焱科技,518
2026-03-22,6409,旭隼,938
2026-03-22,3293,鈊象,1736
2026-03-22,3363,上詮,10960
2026-03-22,3563,牧德,2902
2026-03-22,7717,萊德光電-KY,148
2026-03-22,5536,聖暉*,2485
2026-03-22,7805,威聯通,114
2026-03-22,4583,台灣精銳,126
2026-03-22,6446,藥華藥,1507
2026-03-22,6691,洋基工程,485
2026-03-22,6139,亞翔,5814
2026-03-22,2357,華碩,4989
2026-03-22,6949,沛爾生醫-創,224
2026-03-22,3037,欣興,9060
2026-03-22,6274,台燿,23640
2026-03-22,6531,愛普*,6813
2026-03-22,8046,南電,20161
2026-03-22,3693,營邦,10045
2026-03-22,4966,譜瑞-KY,770
2026-03-22,5904,寶雅,620
2026-03-22,6526,達發,463
2026-03-22,6584,南俊國際,696
2026-03-22,2207,和泰車,702
2026-03-22,4768,晶呈科技,3054
2026-03-22,6643,M31,1550
2026-03-22,6472,保瑞,641
2026-03-22,2379,瑞昱,14309
2026-03-22,4971,IET-KY,523
2026-03-22,1560,中砂,1962
2026-03-22,7744,崴寶,154
2026-03-22,6488,環球晶,2480
2026-03-22,3260,威剛,19034
2026-03-22,6830,汎銓,551
2026-03-22,3406,玉晶光,739
2026-03-22,7795,長廣,2488
2026-03-22,3583,辛耘,5802
2026-03-22,4991,環宇-KY,19807
2026-03-22,7749,意騰-KY,232
2026-03-22,7799,禾榮科,1546
2026-03-22,4979,華星光,27950
2026-03-22,5386,青雲,698
2026-03-22,4728,雙美,15
2026-03-22,3680,家登,848
2026-03-22,3034,聯詠,18421
2026-03-22,8464,億豐,777
2026-03-22,3189,景碩,9782
2026-03-22,5234,達興材料,2378
2026-03-22,6894,衛司特,201
2026-03-22,1476,儒鴻,1353
2026-03-22,2467,志聖,2451
2026-03-22,6831,邁科,2050
2026-03-22,3044,健鼎,9019
2026-03-22,6788,華景電,2955
2026-03-22,6291,沛亨,4867
2026-03-22,6121,新普,1657
2026-03-22,6561,是方,46
2026-03-22,4766,南寶,1343
2026-03-22,6789,采鈺,7378
2026-03-22,3167,大量,652
2026-03-22,2395,研華,4204
2026-03-22,3105,穩懋,62153
2026-03-22,3711,日月光投控,22724
2026-03-22,6715,嘉基,306
2026-03-22,5434,崇越,523
2026-03-22,3211,順達,18325
2026-03-22,7792,安葆,134
2026-03-22,7722,LINEPAY,217
2026-03-22,7610,聯友金屬-創,1111
2026-03-22,2449,京元電子,48135
2026-03-22,5439,高技,9118
2026-03-22,4772,台特化,2657
2026-03-22,6903,巨漢,1313
2026-03-22,4585,達明,187
2026-03-22,2451,創見,23652
2026-03-22,3413,京鼎,1173
2026-03-22,3086,華義,206
2026-03-22,6803,崑鼎,68
2026-03-22,3526,凡甲,902
2026-03-22,6727,亞泰金屬,494
2026-03-22,5284,jpp-KY,2545
2026-03-22,6196,帆宣,2635
2026-03-22,6415,矽力*-KY,9929
2026-03-22,3450,聯鈞,38008
2026-03-22,1477,聚陽,3523
2026-03-22,2382,廣達,13351
2026-03-22,6491,晶碩,567
2026-03-22,6670,復盛應用,566
2026-03-22,1264,德麥,74
2026-03-22,6664,群翊,357
2026-03-22,8155,博智,7776
2026-03-22,6451,訊芯-KY,2272
2026-03-22,2327,國巨*,31158
2026-03-22,3023,信邦,3710
2026-03-22,6231,系微,3971
2026-03-22,6414,樺漢,554
2026-03-22,8499,鼎炫-KY,145
2026-03-22,6937,天虹,930
2026-03-22,8021,尖點,37227
2026-03-22,7711,永擎,1666
2026-03-22,4967,十銓,36746
2026-03-22,3030,德律,5299
2026-03-22,3036,文曄,18475
2026-03-22,6679,鈺太,572
2026-03-22,2376,技嘉,6732
2026-03-22,6667,信紘科,396
2026-03-22,8358,金居,26229
2026-03-22,6881,潤德,0
2026-03-22,2247,汎德永業,65
2026-03-22,8081,致新,462
2026-03-22,2233,宇隆,1174
2026-03-22,2408,南亞科,159687
2026-03-22,6725,矽科宏晟,119
2026-03-22,2455,全新,25940
2026-03-22,3587,閎康,1285
2026-03-22,6138,茂達,841
2026-03-22,7765,中華資安,52
2026-03-22,4770,上品,645
2026-03-22,2727,王品,164
2026-03-22,0057,富邦摩台,13
2026-03-22,6290,良維,22556
2026-03-22,2049,上銀,3362
2026-03-22,3376,新日興,10506
2026-03-22,7810,捷創科技,385
2026-03-22,3130,一零四,20
2026-03-22,2313,華通,60465
2026-03-22,2912,統一超,18126
2026-03-22,6568,宏觀,3302
2026-03-22,3515,華擎,635
2026-03-22,6953,家碩,37
2026-03-22,1795,美時,7831
2026-03-22,2603,長榮,23762
2026-03-22,3592,瑞鼎,327
2026-03-22,2752,豆府,11
2026-03-22,6613,朋億*,1020
2026-03-22,6782,視陽,300
2026-03-22,4958,臻鼎-KY,31568
2026-03-22,7703,銳澤,85
2026-03-22,5475,德宏,3849
2026-03-22,4441,振大環球,58
